zip,type,primary_city,state,county,timezone,area_codes,latitude,longitude,irs_estimated_population
98042,STANDARD,Kent,WA,King County,America/Los_Angeles,"253,425",47.36,-122.1,47570
98043,STANDARD,Mountlake Terrace,WA,Snohomish County,America/Los_Angeles,425,47.79,-122.3,18880
98045,STANDARD,North Bend,WA,King County,America/Los_Angeles,425,47.39,-121.61,15700
98047,STANDARD,Pacific,WA,King County,America/Los_Angeles,253,47.26,-122.25,6480
98051,STANDARD,Ravensdale,WA,King County,America/Los_Angeles,,47.34,-121.92,3860
98052,STANDARD,Redmond,WA,King County,America/Los_Angeles,"206,425",47.68,-122.12,69780
98053,STANDARD,Redmond,WA,King County,America/Los_Angeles,"206,425",47.66,-122.01,22190
98054,STANDARD,Redondo,WA,King County,America/Los_Angeles,206,47.34,-122.32,161
98055,STANDARD,Renton,WA,King County,America/Los_Angeles,425,47.46,-122.21,21380
98056,STANDARD,Renton,WA,King County,America/Los_Angeles,425,47.51,-122.18,32820
98057,STANDARD,Renton,WA,King County,America/Los_Angeles,425,47.47,-122.22,11740
98058,STANDARD,Renton,WA,King County,America/Los_Angeles,425,47.43,-122.11,41100
98059,STANDARD,Renton,WA,King County,America/Los_Angeles,425,47.49,-122.1,39070
98065,STANDARD,Snoqualmie,WA,King County,America/Los_Angeles,,47.53,-121.8,15960
98070,STANDARD,Vashon,WA,King County,America/Los_Angeles,206,47.42,-122.45,10150
98072,STANDARD,Woodinville,WA,King County,America/Los_Angeles,425,47.75,-122.09,25080
98074,STANDARD,Sammamish,WA,King County,America/Los_Angeles,"206,425",47.62,-122.02,30750
98075,STANDARD,Sammamish,WA,King County,America/Los_Angeles,425,47.58,-122.03,26000
98077,STANDARD,Woodinville,WA,King County,America/Los_Angeles,425,47.75,-122.04,13430
98087,STANDARD,Lynnwood,WA,Snohomish County,America/Los_Angeles,425,47.85,-122.28,35800
98092,STANDARD,Auburn,WA,King County,America/Los_Angeles,253,47.28,-122.1,46970
98101,STANDARD,Seattle,WA,King County,America/Los_Angeles,"206,253,360,425",47.61,-122.33,12000
98102,STANDARD,Seattle,WA,King County,America/Los_Angeles,"206,360,425",47.63,-122.32,20640
98103,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.67,-122.34,45170
98104,STANDARD,Seattle,WA,King County,America/Los_Angeles,"206,253,360,425",47.6,-122.32,9930
98105,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.66,-122.29,25690
98106,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.54,-122.35,22580
98107,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.67,-122.38,24450
98108,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.54,-122.31,22480
98109,STANDARD,Seattle,WA,King County,America/Los_Angeles,"425,206",47.63,-122.34,26280
98110,STANDARD,Bainbridge Island,WA,Kitsap County,America/Los_Angeles,206,47.64,-122.53,24050
98112,STANDARD,Seattle,WA,King County,America/Los_Angeles,206,47.63,-122.29,20160
